Id,Name,Type,Size,Form,Standard,Warehouse,Unit,price,LastPriceDate
,میلگرد آجدار راد همدان 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,335409,1404/5/7
,میلگرد آجدار راد همدان 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,332682,1404/5/7
,میلگرد آجدار راد همدان 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,332682,1404/5/7
,میلگرد آجدار راد همدان 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,332682,1404/5/7
,میلگرد آجدار راد همدان 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,332682,1404/5/7
,میلگرد آجدار راد همدان 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,333591,1404/5/7
,میلگرد آجدار راد همدان 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,333591,1404/5/7
,میلگرد آجدار راد همدان 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,333591,1404/5/7
,میلگرد آجدار آناهیتا گیلان 8 A2 شاخه کارخانه  ,,8,,A2,بنگاه تهران,,334545,1404/5/7
,میلگرد آجدار آناهیتا گیلان 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,332727,1404/5/7
,میلگرد آجدار آناهیتا گیلان 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,332727,1404/5/7
,میلگرد آجدار آناهیتا گیلان 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار آناهیتا گیلان 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار آناهیتا گیلان 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار آناهیتا گیلان 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار آناهیتا گیلان 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,327273,1404/5/7
,میلگرد آجدار آناهیتا گیلان 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,332727,1404/5/7
,میلگرد آجدار آناهیتا گیلان 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,332727,1404/5/7
,میلگرد آجدار آناهیتا گیلان 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,332727,1404/5/7
,میلگرد آجدار کاشان 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,340000,1404/5/7
,میلگرد آجدار کاشان 8 A3 شاخه 12 متری کارخانه  ,,8,,A3,کارخانه,,342727,1404/5/7
,میلگرد آجدار کاشان 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,349091,1404/5/7
,میلگرد آجدار کاشان 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,345455,1404/5/7
,میلگرد آجدار کاشان 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,331818,1404/5/7
,میلگرد آجدار کاشان 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,331818,1404/5/7
,میلگرد ساده 5.5 کاشان کلاف  کارخانه ,,5.5,,A1,کارخانه,,354545,1404/5/7
,میلگرد ساده 6.5 کاشان کلاف  کارخانه ,,6.5,,A1,کارخانه,,354545,1404/5/7
,میلگرد آجدار قائم 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,316364,1404/5/7
,میلگرد آجدار قائم 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار قائم 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,310000,1404/5/7
,میلگرد آجدار نورد گرم سمنان 8 A3 شاخه 12 متری کارخانه  ,,8,,A3,کارخانه,,341818,1404/5/7
,میلگرد آجدار آریان فولاد 10 A3 شاخه 12 متری   ,,10,,A3,کارخانه,,333636,1404/5/7
,میلگرد آجدار آریان فولاد 10 A2 شاخه 12 متری   ,,10,,A2,کارخانه,,330909,1404/5/7
,میلگرد آجدار آریان فولاد 12 A2 شاخه 12 متری   ,,12,,A2,کارخانه,,327273,1404/5/7
,میلگرد آجدار آریان فولاد 12 A3 شاخه 12 متری   ,,12,,A3,کارخانه,,328182,1404/5/7
,میلگرد آجدار آریان فولاد 14 A3 شاخه 12 متری   ,,14,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار آریان فولاد 16 A3 شاخه 12 متری   ,,16,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار آریان فولاد 18 A3 شاخه 12 متری   ,,18,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار آریان فولاد 20 A3 شاخه 12 متری   ,,20,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار آریان فولاد 22 A3 شاخه 12 متری   ,,22,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار آریان فولاد 25 A3 شاخه 12 متری   ,,25,,A3,کارخانه,,324545,1404/5/7
,میلگرد آجدار فولاد سپهر ایرانیان 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,340909,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,332727,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 8 A3 شاخه 12 متری کارخانه  ,,8,,A3,کارخانه,,340909,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 10 A2 شاخه 12 متری کارخانه  ,,10,,A2,کارخانه,,328182,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 10 A3 شاخه 12 متری کارخانه  ,,10,,A3,کارخانه,,332727,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 12 A3 شاخه 12 متری کارخانه  ,,12,,A3,کارخانه,,328182,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 14 A3 شاخه 12 متری کارخانه  ,,14,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 16 A3 شاخه 12 متری کارخانه  ,,16,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 18 A3 شاخه 12 متری کارخانه  ,,18,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 20 A3 شاخه 12 متری کارخانه  ,,20,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 22 A3 شاخه 12 متری کارخانه  ,,22,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 25 A3 شاخه 12 متری کارخانه  ,,25,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 28 A3 شاخه 12 متری کارخانه  ,,28,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار کاوه تیکمه داش 32 A3 شاخه 12 متری کارخانه  ,,32,,A3,کارخانه,,325455,1404/5/7
,میلگرد آجدار درپاد تبریز 8 A2 شاخه 12 متری کارخانه  ,,8,,A2,کارخانه,,338182,1404/5/7
